ID externe,Année académique,Bloc,Offres pédagogiques,ID de l'offre pédagogique,Établissement
gwr_annual_block_01,2025-2026,Bloc 1,Master en musique : alto,gwr.pedagogical.offer_081,Conservatoire royal de Bruxelles
gwr_annual_block_02,,,,,
gwr_annual_block_03,,,,,
gwr_annual_block_04,,,,,
gwr_annual_block_05,,,,,
gwr_annual_block_06,,,,,
gwr_annual_block_07,,,,,
gwr_annual_block_08,,,,,
gwr_annual_block_09,,,,,
gwr_annual_block_10,,,,,
gwr_annual_block_11,,,,,
gwr_annual_block_12,,,,,
gwr_annual_block_13,,,,,
gwr_annual_block_14,,,,,
gwr_annual_block_15,,,,,
gwr_annual_block_16,,,,,
gwr_annual_block_17,,,,,
gwr_annual_block_18,,,,,
gwr_annual_block_19,,,,,
gwr_annual_block_20,,,,,
gwr_annual_block_21,,,,,
gwr_annual_block_22,,,,,
gwr_annual_block_23,,,,,
gwr_annual_block_24,,,,,
gwr_annual_block_25,,,,,
gwr_annual_block_26,,,,,
gwr_annual_block_27,,,,,
gwr_annual_block_28,,,,,
gwr_annual_block_29,,,,,
gwr_annual_block_30,,,,,
gwr_annual_block_31,,,,,
gwr_annual_block_32,,,,,
gwr_annual_block_33,,,,,
gwr_annual_block_34,,,,,
gwr_annual_block_35,,,,,
gwr_annual_block_36,,,,,
gwr_annual_block_37,,,,,
gwr_annual_block_38,,,,,
gwr_annual_block_39,,,,,
gwr_annual_block_40,,,,,
gwr_annual_block_41,,,,,
gwr_annual_block_42,,,,,
gwr_annual_block_43,,,,,
gwr_annual_block_44,,,,,
gwr_annual_block_45,,,,,
gwr_annual_block_46,,,,,
gwr_annual_block_47,,,,,
gwr_annual_block_48,,,,,
gwr_annual_block_49,,,,,
gwr_annual_block_50,,,,,
gwr_annual_block_51,,,,,
gwr_annual_block_52,,,,,
gwr_annual_block_53,,,,,
gwr_annual_block_54,,,,,
gwr_annual_block_55,,,,,
gwr_annual_block_56,,,,,
gwr_annual_block_57,,,,,
gwr_annual_block_58,,,,,
gwr_annual_block_59,,,,,
gwr_annual_block_60,,,,,
gwr_annual_block_61,,,,,
gwr_annual_block_62,,,,,
gwr_annual_block_63,,,,,
gwr_annual_block_64,,,,,
gwr_annual_block_65,,,,,
gwr_annual_block_66,,,,,
gwr_annual_block_67,,,,,
gwr_annual_block_68,,,,,
gwr_annual_block_69,,,,,
gwr_annual_block_70,,,,,
gwr_annual_block_71,,,,,
gwr_annual_block_72,,,,,
gwr_annual_block_73,,,,,
gwr_annual_block_74,,,,,
gwr_annual_block_75,,,,,
gwr_annual_block_76,,,,,
gwr_annual_block_77,,,,,
gwr_annual_block_78,,,,,
gwr_annual_block_79,,,,,
gwr_annual_block_80,,,,,
gwr_annual_block_81,,,,,
gwr_annual_block_82,,,,,
gwr_annual_block_83,,,,,
gwr_annual_block_84,,,,,
gwr_annual_block_85,,,,,
gwr_annual_block_86,,,,,
gwr_annual_block_87,,,,,
gwr_annual_block_88,,,,,
gwr_annual_block_89,,,,,
gwr_annual_block_90,,,,,
gwr_annual_block_91,,,,,
gwr_annual_block_92,,,,,
gwr_annual_block_93,,,,,
gwr_annual_block_94,,,,,
gwr_annual_block_95,,,,,
gwr_annual_block_96,,,,,
gwr_annual_block_97,,,,,
gwr_annual_block_98,,,,,
gwr_annual_block_99,,,,,
gwr_annual_block_100,,,,,
gwr_annual_block_101,,,,,
gwr_annual_block_102,,,,,
gwr_annual_block_103,,,,,
gwr_annual_block_104,,,,,
gwr_annual_block_105,,,,,
gwr_annual_block_106,,,,,
gwr_annual_block_107,,,,,
gwr_annual_block_108,,,,,
gwr_annual_block_109,,,,,
gwr_annual_block_110,,,,,
gwr_annual_block_111,,,,,
gwr_annual_block_112,,,,,
gwr_annual_block_113,,,,,
gwr_annual_block_114,,,,,
gwr_annual_block_115,,,,,
gwr_annual_block_116,,,,,
gwr_annual_block_117,,,,,
gwr_annual_block_118,,,,,
gwr_annual_block_119,,,,,
gwr_annual_block_120,,,,,
gwr_annual_block_121,,,,,
gwr_annual_block_122,,,,,
gwr_annual_block_123,,,,,
gwr_annual_block_124,,,,,
gwr_annual_block_125,,,,,
gwr_annual_block_126,,,,,
gwr_annual_block_127,,,,,
gwr_annual_block_128,,,,,
gwr_annual_block_129,,,,,
gwr_annual_block_130,,,,,
gwr_annual_block_131,,,,,
gwr_annual_block_132,,,,,
gwr_annual_block_133,,,,,
gwr_annual_block_134,,,,,
gwr_annual_block_135,,,,,
gwr_annual_block_136,,,,,
gwr_annual_block_137,,,,,
gwr_annual_block_138,,,,,
gwr_annual_block_139,,,,,
gwr_annual_block_140,,,,,
gwr_annual_block_141,,,,,
gwr_annual_block_142,,,,,
gwr_annual_block_143,,,,,
gwr_annual_block_144,,,,,
gwr_annual_block_145,,,,,
gwr_annual_block_146,,,,,
gwr_annual_block_147,,,,,
gwr_annual_block_148,,,,,
gwr_annual_block_149,,,,,
gwr_annual_block_150,,,,,
gwr_annual_block_151,,,,,
gwr_annual_block_152,,,,,
gwr_annual_block_153,,,,,
gwr_annual_block_154,,,,,
gwr_annual_block_155,,,,,
gwr_annual_block_156,,,,,
gwr_annual_block_157,,,,,
gwr_annual_block_158,,,,,
gwr_annual_block_159,,,,,
gwr_annual_block_160,,,,,
gwr_annual_block_161,,,,,
gwr_annual_block_162,,,,,
gwr_annual_block_163,,,,,
gwr_annual_block_164,,,,,
gwr_annual_block_165,,,,,
gwr_annual_block_166,,,,,
gwr_annual_block_167,,,,,
gwr_annual_block_168,,,,,
gwr_annual_block_169,,,,,
gwr_annual_block_170,,,,,
gwr_annual_block_171,,,,,
gwr_annual_block_172,,,,,
gwr_annual_block_173,,,,,
gwr_annual_block_174,,,,,
gwr_annual_block_175,,,,,
gwr_annual_block_176,,,,,
gwr_annual_block_177,,,,,
gwr_annual_block_178,,,,,
gwr_annual_block_179,,,,,
gwr_annual_block_180,,,,,
gwr_annual_block_181,,,,,
gwr_annual_block_182,,,,,
gwr_annual_block_183,,,,,
gwr_annual_block_184,,,,,
gwr_annual_block_185,,,,,
gwr_annual_block_186,,,,,
gwr_annual_block_187,,,,,
gwr_annual_block_188,,,,,
gwr_annual_block_189,,,,,
gwr_annual_block_190,,,,,
gwr_annual_block_191,,,,,
gwr_annual_block_192,,,,,
gwr_annual_block_193,,,,,
gwr_annual_block_194,,,,,
gwr_annual_block_195,,,,,
gwr_annual_block_196,,,,,
gwr_annual_block_197,,,,,
gwr_annual_block_198,,,,,
gwr_annual_block_199,,,,,
gwr_annual_block_200,,,,,
gwr_annual_block_201,,,,,
gwr_annual_block_202,,,,,
gwr_annual_block_203,,,,,
gwr_annual_block_204,,,,,
gwr_annual_block_205,,,,,
gwr_annual_block_206,,,,,
gwr_annual_block_207,,,,,
gwr_annual_block_208,,,,,
gwr_annual_block_209,,,,,
gwr_annual_block_210,,,,,
gwr_annual_block_211,,,,,
gwr_annual_block_212,,,,,
gwr_annual_block_213,,,,,
gwr_annual_block_214,,,,,
gwr_annual_block_215,,,,,
gwr_annual_block_216,,,,,
gwr_annual_block_217,,,,,
gwr_annual_block_218,,,,,
gwr_annual_block_219,,,,,
gwr_annual_block_220,,,,,
gwr_annual_block_221,,,,,
gwr_annual_block_222,,,,,
gwr_annual_block_223,,,,,
gwr_annual_block_224,,,,,
gwr_annual_block_225,,,,,
gwr_annual_block_226,,,,,
gwr_annual_block_227,,,,,
gwr_annual_block_228,,,,,
gwr_annual_block_229,,,,,
gwr_annual_block_230,,,,,
gwr_annual_block_231,,,,,
gwr_annual_block_232,,,,,
gwr_annual_block_233,,,,,
gwr_annual_block_234,,,,,
gwr_annual_block_235,,,,,
gwr_annual_block_236,,,,,
gwr_annual_block_237,,,,,
gwr_annual_block_238,,,,,
gwr_annual_block_239,,,,,
gwr_annual_block_240,,,,,
gwr_annual_block_241,,,,,
gwr_annual_block_242,,,,,
gwr_annual_block_243,,,,,
gwr_annual_block_244,,,,,
gwr_annual_block_245,,,,,
gwr_annual_block_246,,,,,
gwr_annual_block_247,,,,,
gwr_annual_block_248,,,,,
gwr_annual_block_249,,,,,
gwr_annual_block_250,,,,,
gwr_annual_block_251,,,,,
gwr_annual_block_252,,,,,
gwr_annual_block_253,,,,,
gwr_annual_block_254,,,,,
gwr_annual_block_255,,,,,
gwr_annual_block_256,,,,,
gwr_annual_block_257,,,,,
gwr_annual_block_258,,,,,
gwr_annual_block_259,,,,,
gwr_annual_block_260,,,,,
gwr_annual_block_261,,,,,
gwr_annual_block_262,,,,,
gwr_annual_block_263,,,,,
gwr_annual_block_264,,,,,
gwr_annual_block_265,,,,,
gwr_annual_block_266,,,,,
gwr_annual_block_267,,,,,
gwr_annual_block_268,,,,,
gwr_annual_block_269,,,,,
gwr_annual_block_270,,,,,
gwr_annual_block_271,,,,,
gwr_annual_block_272,,,,,
gwr_annual_block_273,,,,,
gwr_annual_block_274,,,,,
gwr_annual_block_275,,,,,
gwr_annual_block_276,,,,,
gwr_annual_block_277,,,,,
gwr_annual_block_278,,,,,
gwr_annual_block_279,,,,,
gwr_annual_block_280,,,,,
gwr_annual_block_281,,,,,
gwr_annual_block_282,,,,,
gwr_annual_block_283,,,,,
gwr_annual_block_284,,,,,
gwr_annual_block_285,,,,,
gwr_annual_block_286,,,,,
gwr_annual_block_287,,,,,
gwr_annual_block_288,,,,,
gwr_annual_block_289,,,,,
gwr_annual_block_290,,,,,
gwr_annual_block_291,,,,,
gwr_annual_block_292,,,,,
gwr_annual_block_293,,,,,
gwr_annual_block_294,,,,,
gwr_annual_block_295,,,,,
gwr_annual_block_296,,,,,
gwr_annual_block_297,,,,,
gwr_annual_block_298,,,,,
gwr_annual_block_299,,,,,
gwr_annual_block_300,,,,,
gwr_annual_block_301,,,,,
gwr_annual_block_302,,,,,
gwr_annual_block_303,,,,,
gwr_annual_block_304,,,,,
gwr_annual_block_305,,,,,
gwr_annual_block_306,,,,,
gwr_annual_block_307,,,,,
gwr_annual_block_308,,,,,
gwr_annual_block_309,,,,,
gwr_annual_block_310,,,,,
gwr_annual_block_311,,,,,
gwr_annual_block_312,,,,,
gwr_annual_block_313,,,,,
gwr_annual_block_314,,,,,
gwr_annual_block_315,,,,,
gwr_annual_block_316,,,,,
gwr_annual_block_317,,,,,
gwr_annual_block_318,,,,,
gwr_annual_block_319,,,,,
gwr_annual_block_320,,,,,
gwr_annual_block_321,,,,,
gwr_annual_block_322,,,,,
gwr_annual_block_323,,,,,
gwr_annual_block_324,,,,,
gwr_annual_block_325,,,,,
