id,name,id_esa,cycle,admission_criteria_url,form_study,generic_grade,Finalité,admission_test_duration,academic_year_id,program_url,Code habilitation,Code Etude ARES,Code grade académique,Année académique de création,Horaire,Published,send_to_hops,Dispositif pédagogique,Soumis au décret R/RN,classification_id,status,Langue
gwr.pedagogical.offer_001,Bachelier en enseignement section 3 formation artistique : musique et éducation culturelle et artistique,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Sciences humaines et sociales / Sciences de l'éducation et Enseignement,Actif,
gwr.pedagogical.offer_002,Bachelier en enseignement section 3 formation artistique : musique et éducation culturelle et artistique (ESAHR),,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Sciences humaines et sociales / Sciences de l'éducation et Enseignement,Actif,
gwr.pedagogical.offer_003,Bachelier en musique : alto,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_004,Bachelier en musique : basson,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_005,Bachelier en musique : chant,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_006,Bachelier en musique : clarinette,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_007,Bachelier en musique : composition,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Composition,Actif,
gwr.pedagogical.offer_008,Bachelier en musique : contrebasse,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_009,Bachelier en musique : cor,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_010,Bachelier en musique : flûte traversière,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_011,Bachelier en musique : formation musicale,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Formation musicale,Actif,
gwr.pedagogical.offer_012,Bachelier en musique : guitare,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_013,Bachelier en musique : harpe,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_014,Bachelier en musique : hautbois,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_015,Bachelier en musique : mandoline,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_016,Bachelier en musique : musique improvisée de tradition orale,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Musique improvisée et de tradition orale,Actif,
gwr.pedagogical.offer_017,Bachelier en musique : orgue,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Clavier,Actif,
gwr.pedagogical.offer_018,Bachelier en musique : percussions,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Percussions,Actif,
gwr.pedagogical.offer_019,Bachelier en musique : piano,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Clavier,Actif,
gwr.pedagogical.offer_020,Bachelier en musique : saxophone,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_021,Bachelier en musique : trombone,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_022,Bachelier en musique : trompette,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_023,Bachelier en musique : tuba,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_024,Bachelier en musique : violon,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_025,Bachelier en musique : violoncelle,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_026,Bachelier en théâtre et arts de la parole : art dramatique,,1er cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Domaine du théâtre et des arts de la parole / Art dramatique  / Art Dramatique / Art dramatique,Actif,
gwr.pedagogical.offer_027,Master en enseignement section 3 formation artistique : musique et éducation culturelle et artistique,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Sciences humaines et sociales / Sciences de l'éducation et Enseignement,Actif,
gwr.pedagogical.offer_028,Master en enseignement section 3 formation artistique : musique et éducation culturelle et artistique (ESAHR),,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Sciences humaines et sociales / Sciences de l'éducation et Enseignement,Actif,
gwr.pedagogical.offer_029,Master en enseignement Section 4 : Musique - Alto,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_030,Master en enseignement Section 4 : Musique - Art lyrique,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_031,Master en enseignement Section 4 : Musique - Basson,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_032,Master en enseignement Section 4 : Musique - Chant,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_033,Master en enseignement Section 4 : Musique - Clarinette,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_034,Master en enseignement Section 4 : Musique - Composition,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Composition,Actif,
